config,task_id,prompt_n,prompt_ms,eval_n,eval_ms,tpot_ms,wall_s,free_gb_before
baseline,HumanEval/0,132,177170.44,32,78300.58,2446.893125,794.9,11.29
baseline,HumanEval/5,102,171200.11,32,86655.48,2707.98375,794.8,9.91
baseline,HumanEval/10,158,196552.0,32,102807.04,3212.72,879.6,10.01
baseline,HumanEval/15,78,259164.28,32,166087.77,5190.2428125,1040.2,9.66
baseline,HumanEval/20,176,282312.29,32,107777.3,3368.040625,1049.6,8.58
opt1_skip,HumanEval/0,132,175021.53,32,49259.57,1539.3615625,861.6,11.17
opt1_skip,HumanEval/5,102,104493.95,32,51420.27,1606.8834375,693.8,10.37
opt1_skip,HumanEval/10,158,135905.12,32,49418.32,1544.3225,716.2,10.3
opt1_skip,HumanEval/15,78,93701.01,32,53406.77,1668.9615625,707.7,10.15
opt1_skip,HumanEval/20,176,172099.9,32,54566.59,1705.2059375,765.4,9.66
opt2_dflash,HumanEval/0,132,141814.14,32,96588.88,3018.4025,823.8,10.87
opt2_dflash,HumanEval/5,102,136478.4,32,71850.2,2245.31875,796.5,10.14
opt2_dflash,HumanEval/10,158,147341.83,32,80938.77,2529.3365625,785.8,9.74
opt2_dflash,HumanEval/15,78,103849.46,32,65188.55,2037.1421875,750.4,10.27
opt2_dflash,HumanEval/20,176,173292.81,32,74236.15,2319.8796875,809.0,10.1
opt3_relaxed,HumanEval/0,132,147829.08,32,64081.72,2002.55375,770.4,10.01
opt3_relaxed,HumanEval/5,102,106347.41,32,53127.84,1660.245,727.3,10.43
opt3_relaxed,HumanEval/10,158,136416.08,32,54263.74,1695.741875,723.6,9.41
opt3_relaxed,HumanEval/15,78,97307.14,32,67070.59,2095.9559375,683.8,10.53
opt3_relaxed,HumanEval/20,176,164526.63,32,33966.18,1061.443125,763.1,10.13
